Bridge of Spies,Tom Hanks; Mark Rylance; Alan Alda,Steven Spielberg,True story CIA/Russian Spy/prisoner exchange
Bright Lights- Big City,Michael J. Fox; Phoebe Cates; Keifer Sutherland,,Drama
Brighton Beach Memoirs,,,Comedy; Neil Simon
Brink's Job,,,
Broadcast News,William Hurt; Albert Brooks; Holly Hunter; Joan Cusak; John Cusak,,Romantic Drama
Broken Arrow,John Travolta,,Action
Broken Lance,Richard Widmark,,Western
Bronx is Burning,Oliver Platt; Daniel Sunjata; John Torturra,,Baseball Drama 1977 Yankees
Bronx Tale,Robert De Niro,Robert De Niro,Drama Gangsters
Bruce Almighty,Jim Carrey; Jennifer Aniston; Morgan Freeman; Catherine Bell,,Comedy
Bugs Bunny:  Hare Extraordinnaire,Bugs Bunny; Daffy Duck; Yosemite Sam; Mel Blanc,Chuck Jones,Animation
Bugsy,Warren Beatty; Annette Bening,,Gangster
Bull Durham,Kevin Costner; Susan Sarandon,,Baseball
Bullett,Steve McQueen; Robert Duvall; Jacqueline Basset,,Cops
Burglars,,,Drama
Burning Hills,,,
Burning Palms,Shannon Doherty; Dylan MacDermott; Nick Stahl,Christopher Landon,Horror; 5 Stories
Buster & Billie,,,Romanyic Drama
Busting,Elliot Gould; Robert Blake,,Cops
Butch Cassidy  & The Sundance Kid,Robert Redford; Paul Newman; Katherine Ross,George Roy HIll,Western
Cable Guy,Jim Carrey; Matthew Broderick; George Segal; Ben Stiller; Owen Wilson,Ben Stiller,Comedy
Caddyshack,Bill Murray; Rodney Dangerfield; Chevy Chase,,Comedy; Golf
Cadence,Charley Sheen; Martin Sheen,,Drama; Military
Cadillac Man,Robin Williams,,Comedy; Car Salesman
Café Society,Jesse Eisenberg; Steve Carell; Woody Allen,Woody Allen,Comedy; Love triangle hollywood gangster
Cahill: US Marshall,John Wayne; George Kennedy,,Western
California Split,George Segal,Robert Altman,Gambling
Call Me:  Rise and Fall of Heidi Fleiss,Jamie Lynn Discala; Saul Rubinek; Corbin Bernson,,Drama; Prostitution
Capitalism: A Love Story,,Michael Moore,Documentary
Capone,,,Mafia
Capote,Philip Seymour Hoffmann; Chris Cooper,,Drama; Writer/Death Row
Capricorn One,James Brolin; Sam Waterston; OJ Sompson; Hal Holbrook; Brenda Vacarro; Teli Savales; Elliot Gould,Peter Hyams,Science Fiction; Adventure
Captain Eddie,,,Drama; Airplanes Eddie Rickenbacher
Captain Phillips,Tom Hanks,,Drama; True story American ship/Somali pirates
Capturing the Friedmans,,,Documentary:  Child Molestation
Career Opportunities,Robert Downey; Jr.; Jennifer Connelly,,Comedy; Growing up
Carlito's Way,Al Pacino,,Drama; Mafia
Caroline at Midnight,Judd Nelson; Mia Sara; Tim Daly,,Drama; sex & drugs & murder
Carrie,Timothy Hutton; Sissy Spacek,Brain De Palma,Horror
Cars,Owen Wilson; Bonnie Hunt; Paul Newman,,Animation
Casey's Shadow,Walter Matthau,,Drama; Horse Racing
Casino,Sharon Stone; Robert De Niro; Joe Pesci; Don Rickles; James Woods,Martin Scorcese,Drama; Mafia
Casino Royale,Daniel Craig; Judi Dench,Albert E. Broccoli,James Bond
Casino Royale,Woody Allen; David Niven,,James Bond Spoof
Casper,Christine Ricci; Eric Idle; Bill Pullman; Cathy Moriarty,,Animation
Cassandra Crossing,OJ Simpson,,Train Robbery
CastAway,Tom Hanks; Helen Hunt,Robert Zemeckis,Adventure; Pacific Island
Casual Sex,Lea Thompson; Victoria Jackson; Andrew Dice Clay; Mary Gross,,Romantic comedy
Casualties of War,Sean Penn; Michael J. Fox; John C. Reilly; John Leguzzamo,Brian De Palma,Vietnam War/Rape/Murder
Cat Ballou,Jane Fonda; Nat King Cole; Lee Marvin,,Western Musical
Catch Me If You Can,Leonardo DiCaprio; Tom Hanks; Martin Sheen; Christopher Walken,Steven Spielberg,Drama; Con Artist and the FBI
Catfish,,,Documentary; Facebook liar
Cedar House Rules,Michael Caine; Charleze Theron,,Drama; Orphanage
Chamber,Chris O'Donnel; Gene Hackman; Faye Dunaway,John Grisham,Legal Drama
Changing Lanes,Ben Affleck; Samuel L. Jackson,,Drama; Law
Chapter Two,,,Comedy; Neil Simon
Chariots of Fire,,,Drama; 1924 Olympics Great Britain Track
Charley Varrick,Walter Matthau; Joe Don Baker,,Bank Robbery
Charlie Wilson's War,Tom Hanks; Phillip Seymour Hoffmann,Mike Nichols,Afghanistan War:1980
Chase,Charlie Sheen; Kathryn Swanson,,Comedy; Car chase
Chasing Mavericks,Gerard Bryant; Elizabeth Shue,,True story of CA Surfers and their training
Chato's Land,Charles Bronson,,Western
